                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3263,                 1.6373,                 1.3185,                0.28499,                0.39892,                0.22025,                0.09947,                 2.3085,                 12.362,                 2.5287,             0.00065873,             0.00065873,             0.00065873
                      2,                 1.3945,                 1.1123,                 1.3421,                0.47341,                 0.3923,                0.37096,                0.16663,                 2.0153,                 6.7357,                  2.281,              0.0013123,              0.0013123,              0.0013123
                      3,                  1.389,                 1.0558,                 1.3431,                0.30855,                0.21558,                0.18702,                0.09463,                 2.3009,                  10.18,                 2.4796,              0.0019526,              0.0019526,              0.0019526
                      4,                 1.3833,                  1.024,                 1.3432,                0.52823,                0.37576,                0.43616,                0.24107,                 1.7466,                 2.4175,                 1.7466,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2697,                0.91087,                 1.2541,                 0.5182,                0.47013,                0.46581,                0.25374,                 1.8651,                 2.1294,                 1.7799,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2185,                0.85918,                 1.2346,                0.70218,                0.54026,                0.60828,                0.31296,                 1.7972,                 1.8019,                 1.7988,               0.001901,               0.001901,               0.001901
                      7,                  1.214,                0.83634,                 1.2219,                0.84415,                0.72727,                0.80807,                0.47134,                 1.4992,                 1.2272,                 1.5054,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1779,                0.78989,                 1.1916,                0.78675,                0.70043,                0.76652,                0.41609,                 1.7626,                 1.2185,                 1.7146,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1186,                0.72415,                 1.1659,                0.87432,                0.69871,                0.78327,                0.42898,                  1.575,                 1.1911,                 1.5773,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1262,                0.71673,                 1.1589,                0.85481,                0.65368,                0.75682,                0.44834,                 1.4781,                 1.3466,                 1.5329,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.06,                0.68523,                 1.1275,                0.77957,                0.68225,                0.75683,                0.43929,                 1.6891,                 1.1659,                 1.7209,               0.001802,               0.001802,               0.001802
                     12,                 1.0644,                0.66538,                 1.1261,                0.84161,                0.54199,                0.66649,                0.38567,                 1.7526,                 1.5143,                 1.7334,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0716,                0.68354,                 1.1397,                0.83213,                0.73247,                0.80732,                0.50302,                 1.3879,                 1.0302,                 1.4246,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0345,                 0.6559,                 1.1203,                0.81266,                0.68225,                0.77147,                0.43546,                 1.6063,                 1.2294,                 1.5965,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0019,                0.62597,                 1.1131,                0.65175,                0.74805,                0.71967,                0.42964,                 1.5091,                 1.3049,                 1.5378,              0.0017228,              0.0017228,              0.0017228
